"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"08/16/2018",37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/17/2018",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/18/2018",27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/19/2018",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/20/2018",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/21/2018",26,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/22/2018",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/23/2018",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/24/2018",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/25/2018",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/26/2018",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/27/2018",45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/28/2018",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/29/2018",45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/30/2018",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/31/2018",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/01/2018",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/02/2018",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/03/2018",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/04/2018",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/05/2018",39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/06/2018",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/07/2018",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/08/2018",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/09/2018",16,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/20/2018",58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/21/2018",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/22/2018",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/23/2018",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/24/2018",18,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/25/2018",25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/26/2018",24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/27/2018",26,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/28/2018",27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/29/2018",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/30/2018",29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/01/2018",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/02/2018",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/03/2018",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/04/2018",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/05/2018",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/06/2018",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/07/2018",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/08/2018",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/09/2018",25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/10/2018",16,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/11/2018",24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/12/2018",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/13/2018",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/15/2018",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/16/2018",20,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/17/2018",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/18/2018",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/19/2018",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/20/2018",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/21/2018",29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/22/2018",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/23/2018",37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/24/2018",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/25/2018",25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/26/2018",21,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/27/2018",26,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/28/2018",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/29/2018",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/30/2018",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10/31/2018",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/01/2018",42,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/05/2018",44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/06/2018",38,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/07/2018",38,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/08/2018",41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/09/2018",45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/10/2018",47,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/11/2018",41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/12/2018",43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/13/2018",43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/14/2018",43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/16/2018",61,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/17/2018",50,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/18/2018",44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/19/2018",43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/20/2018",38,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/21/2018",36,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/23/2018",49,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/24/2018",43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/25/2018",45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/26/2018",46,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/27/2018",43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/28/2018",42,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/29/2018",49,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"03/30/2018",41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/01/2018",46,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/03/2018",47,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/04/2018",44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/05/2018",48,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/06/2018",54,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/07/2018",42,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/08/2018",45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/09/2018",34,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/10/2018",44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/11/2018",44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/12/2018",64,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/13/2018",84,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/14/2018",45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/15/2018",41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/17/2018",64,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/18/2018",77,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/19/2018",42,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/20/2018",61,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/21/2018",74,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/22/2018",49,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/23/2018",48,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/24/2018",40,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/25/2018",40,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/26/2018",39,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/27/2018",48,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/28/2018",67,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/29/2018",45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"04/30/2018",54,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/01/2018",80,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/02/2018",87,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/03/2018",84,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/04/2018",49,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/05/2018",45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
